dealerCode,dealerName,dealerAddress,dealerCity,dealerState,dealerZip,dealerRadius,latitude,longitude,Rating,LifeTimeReviews,Recommended
2307102,BMW of Lincoln CCRC,6833 Telluride Dr,Lincoln,NE,68521-8981,NULL,40.880781,-96.683018,5,4,0
5000002,JMK BMW Service Annex,1011 US Highway 22,Mountainside,NJ,07092-2803,NULL,40.684236,-74.336335,5,411,100
4071301,BMW of Devon,20 Lancaster Ave,Devon,PA,19333-1305,NULL,40.048029,-75.417678,4.7,100,92
2862903,Hassel BMW CCRC,153 E Merrick Rd,Freeport,NY,11520-4017,NULL,40.654239,-73.573217,4.6,43,91
2862904,Hassel BMW VPC,280 W Sunrise Hwy,Freeport,NY,11520-3352,NULL,40.655951,-73.594059,4.6,43,91
M3931301,MINI of Little Rock,12601 W. Markham St.,Little Rock,AR,72211-3311,NULL,34.753214,-92.415463,4.9,12,100
M5120002,Keeler MINI,1111 Troy Schenectady Road,Latham,NY,12110-1002,NULL,42.765319,-73.809792,5,7,NULL
9660302,South Motors BMW CCRC,9720 SW 170th St,Miami,FL,33157-4331,NULL,25.611915,-80.350542,4.7,167,92
2280002,Competition BMW of Smithtown Workshop Annex,10 Jefferson Ave,Saint James,NY,11780-2963,NULL,40.860906,-73.156908,4.8,195,96
2670002,Sun Motor Cars BMW CCRC,6681 Carlisle Pike,Mechanicsburg,PA,17050-1707,NULL,40.241361,-77.046894,5,65,100
M2862903,Hassel MINI Body Shop,153 E Merrick Rd,Freeport,NY,11520-4017,NULL,40.654239,-73.573217,4.8,653,NULL
M2862904,Hassel MINI VPC,280 W Sunrise Hwy,Freeport,NY,11520-3352,NULL,40.655951,-73.594059,1.5,36,NULL
3163802,BMW of Mt. Laurel CCRC,571 Route 38 W,Maple Shade,NJ,08052-1605,NULL,39.943651,-74.971733,4.9,30,100
3966801,BMW of Salem,660 Liberty St NE,Salem,OR,97301-1059,NULL,44.946139,-123.035734,4.8,53,NULL
M0463702,Bob Smith MINI,24400 Calabasas Road,Calabasas,CA,91302-1517,NULL,34.150508,-118.658961,4.9,54,NULL
M2320004,MINI of Fairfield County VPC,15 Crescent St,Stamford,CT,06906-1815,NULL,41.070216,-73.51874,4.6,75,NULL
2290002,Concours BMW CCRC,1711 W Florist Ave,Milwaukee,WI,53209-3827,NULL,43.126356,-87.932852,1.4,1,0
M2017302,New Country MINI,236 Reverend Moody Overpass,Hartford,CT,06120-1509,NULL,41.778648,-72.667817,3.7,36,NULL
2633802,Performance BMW CCRC,1810 Fordham Blvd,Chapel Hill,NC,27514-2201,NULL,35.946967,-79.006937,5,65,100
2281704,BMW of Towson CCRC,1765 E Joppa Rd,Parkville,MD,21234-3616,NULL,39.398912,-76.556002,5,65,100
2222702,Paul Miller BMW CCRC,2075 Hamburg Tpke,Wayne,NJ,07470-6293,NULL,40.978719,-74.271906,4.2,300,80
M3664004,MINI of the Main Line Wholesale Parts Annex,134 Rock Hill Road,Bala Cynwyd,PA,19004-2133,NULL,40.020825,-75.23583,4,34,NULL
4080701,BMW of Bend,1045 SE 3rd St,Bend,OR,97702-2142,NULL,44.039792,-121.303947,0,0,50
M3164202,MINI of Monrovia,1451 South Mountain Avenue,Monrovia,CA,91016-4204,NULL,34.136347,-117.98635,2.9,6,NULL
M3440002,MINI of Boston (Wholesale Parts Operation),68 Old County Rd,Sudbury,MA,01776-2422,NULL,42.36414,-71.392981,4.9,150,NULL
M2327602,MINI of Sterling Annex,21826 Pacific Blvd (2),Sterling,VA,20166-9283,NULL,39.010664,-77.439144,4.1,188,NULL
4677804,Tom Bush BMW CCRC,9875 Atlantic Blvd,Jacksonville,FL,32225-6552,NULL,30.322411,-81.543093,4.3,164,82
2659802,Wagner BMW of Shrewsbury CCRC,700 Plantation St,Worcester,MA,01605-2041,NULL,42.302458,-71.76306,3.3,104,62
4033501,BMW of Riverside,3060 Adams St,Riverside,CA,92504-4014,NULL,33.922409,-117.415641,4.4,172,NULL
